filename,label,label_ru,source_part,source_folder,original_path,processed_path,width,height
ch1__2550374-2 10х.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550374-2 10х.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550374-2 10х.jpg,2272,1704
ch1__2550375-1 10х.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550375-1 10х.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550375-1 10х.jpg,2272,1704
ch1__2550375-3 5х.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550375-3 5х.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550375-3 5х.jpg,2272,1704
ch1__2550376-1 5x.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550376-1 5x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550376-1 5x.jpg,2272,1704
ch1__2550376-2 10x.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550376-2 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550376-2 10x.jpg,2272,1704
ch1__2550377-1 5x.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550377-1 5x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550377-1 5x.jpg,2272,1704
ch1__2550378-1 5x.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550378-1 5x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550378-1 5x.jpg,2272,1704
ch1__2550381-1 10x.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550381-1 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550381-1 10x.jpg,2272,1704
ch1__2550381-2 10x.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550381-2 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550381-2 10x.jpg,2272,1704
ch1__2550382-1 10x.jpg,otalkovannaya,оталькованная,Фото руд по сортам. ч1,Оталькованные руды,C:\Users\USER\Desktop\Нонрникель\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550382-1 10x.JPG,C:\Users\USER\Desktop\Нонрникель\data\processed\images\otalkovannaya\ch1__2550382-1 10x.jpg,2272,1704
